,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
206570,115-2018-2019-Q4-07372,ONTARIO POWER GENERATION INC.,TORONTO | TORONTO,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERRC-MU-132,CERRC-MU-132,2000000,2/26/19,3/31/20,The project is mostly related to decreasing greenhouse gas emissions through the demonstration of technologies to reduce fossil fuel use for heat and/or power generation in Canadaís remote communities and/or remote industrial sites.,"The expected results are reductions in fossil fuel use for heat and/or power, reductions in greenhouse gas emissions, socioeconomic benefits and replication potential of technologies for remote locations.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206985,115-2019-2020-Q2-08373,QIKIQTAALUK BUSINESS DEVELOPMENT CORPORATION,IQALUIT | IQALUIT,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,IQUALUIT INUIT OWNED LAND SMART MICRO GRID - PHASE 1 FEED STUDY,CERRC-DEM-32,1231225,8/26/19,3/31/21,The project is mostly related to conducting a front-end engineering and design (FEED) study to focus on the technical requirements as well as financial and regulatory aspects and permitting requirements to execute a demonstration project in a specific remote community.,The expected results of a front-end engineering and design (FEED) study are to increase knowledge and capacity to successfully execute a demonstration project in a remote community to reduce fossil fuel use and greenhouse gases.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206387,115-2018-2019-Q4-07599,ST. MARY'S RIVER ENERGY LIMITED PARTNERSHIP,HALIFAX | HALIFAX,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERRC-MU-131,CERRC-MU-131,1246289,2/22/19,3/31/21,The project is mostly related to decreasing greenhouse gas emissions through the demonstration of technologies to reduce fossil fuel use for heat and/or power generation in Canada's remote communities and/or remote industrial sites.,"The expected results are reductions in fossil fuel use for heat and/or power, reductions in greenhouse gas emissions, socioeconomic benefits and replication potential of technologies for remote locations.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206977,115-2019-2020-Q2-08375,KLUANE FIRST NATION,BURWASH LANDING | BURWASH LANDING,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,DESTRUCTION BAY RENEWABLE HYBRID-DIESEL DEMONSTRATION PROJECT,CERRC-DEM-58,2000000,9/3/19,3/31/21,The project is mostly related to decreasing greenhouse gas emissions through the demonstration of technologies to reduce fossil fuel use for heat and/or power generation in Canada's remote communities and/or remote industrial sites.,"The expected results are reductions in fossil fuel use for heat and/or power, reductions in greenhouse gas emissions, socioeconomic benefits and replication potential of technologies for remote locations.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206555,115-2018-2019-Q4-07651,NRSTOR REMOTES GP INC,CALGARY | CALGARY,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERRC-MU-129,CERRC-MU-129,663992,3/22/19,3/31/20,The project is mostly related to conducting a front-end engineering and design (FEED) study to focus on the technical requirements as well as financial and regulatory aspects and permitting requirements to execute a demonstration project in a specific remote community.,The expected results of a front-end engineering and design (FEED) study are to increase knowledge and capacity to successfully execute a demonstration project in a remote community to reduce fossil fuel use and greenhouse gases.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206386,115-2018-2019-Q4-07275,XENI GWET' IN FIRST NATIONS GOVERNMENT,NEMAIAH VALLEY | NEMAIAH VALLEY,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERRC-006,CERRC-006,1756500,1/16/19,3/31/24,The project is mostly related to decreasing greenhouse gas emissions through the demonstration of technologies to reduce fossil fuel use for heat and/or power generation in Canada's remote communities and/or remote industrial sites.,"The expected results are reductions in fossil fuel use for heat and/or power, reductions in greenhouse gas emissions, socioeconomic benefits and replication potential of technologies for remote locations.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206530,115-2018-2019-Q4-07500,DENESOLINE CORPORATION LTD.,YELLOWKNIFE | YELLOWKNIFE,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERRC-DEM-36,CERRC-DEM-36,400000,2/1/19,3/31/20,The project is mostly related to conducting a front-end engineering and design (FEED) study to focus on the technical requirements as well as financial and regulatory aspects and permitting requirements to execute a demonstration project in a specific remote community.,The expected results of a front-end engineering and design (FEED) study are to increase knowledge and capacity to successfully execute a demonstration project in a remote community to reduce fossil fuel use and greenhouse gases.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206608,115-2018-2019-Q4-07716,XENI GWET' IN FIRST NATIONS GOVERNMENT,NEMAIAH VALLEY | NEMAIAH VALLEY,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERRC-006,CERRC-006,1756500,1/16/19,3/31/24,The project is mostly related to decreasing greenhouse gas emissions through the demonstration of technologies to reduce fossil fuel use for heat and/or power generation in Canada's remote communities and/or remote industrial sites.,"The expected results are reductions in fossil fuel use for heat and/or power, reductions in greenhouse gas emissions, socioeconomic benefits and replication potential of technologies for remote locations.",Amendment: Text modification / Award previously disclosed for the 4th Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
207014,115-2019-2020-Q2-08374,KWIKWASUT'INUXW HAXWA'MIS,ALERT BAY | BAIE D'ALERTE,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,"HYBRID, SMART GRID SOLAR PHOTOVOLTAIC (PV) AND BATTERY DEMONSTRATION",CERRC-DM-65,2299000,8/12/19,3/31/23,The project is mostly related to decreasing greenhouse gas emissions through the demonstration of technologies to reduce fossil fuel use for heat and/or power generation in Canada's remote communities and/or remote industrial sites.,"The expected results are reductions in fossil fuel use for heat and/or power, reductions in greenhouse gas emissions, socioeconomic benefits and replication potential of technologies for remote locations.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206986,115-2019-2020-Q2-08069,NUNATSIAVUT GOVERNMENT,NAIN | NAIN,Clean Energy for Rural and Remote Communities Program - Demonstration Component,The objective of the CERRC demonstration program stream is to reduce the use of diesel fuel for heat and power in remote communities (indigenous and non-indigenous) and industrial sites through innovative technology demonstrations.,CERCC-DM-008,CERCC-DM-008,1315220,7/8/19,3/31/21,The project is mostly related to conducting a front-end engineering and design (FEED) study to focus on the technical requirements as well as financial and regulatory aspects and permitting requirements to execute a demonstration project in a specific remote community.,The expected results of a front-end engineering and design (FEED) study are to increase knowledge and capacity to successfully execute a demonstration project in a remote community to reduce fossil fuel use and greenhouse gases.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206400,115-2018-2019-Q4-07531,GITXSAN ENERGY INC,DELTA | DELTA,Clean Energy in Rural and Remote Communities Bioheat Program component,"The objective is to support the reduction of greenhouse gas emissions from Canada's energy sector through a set of deployment programs which allow for a smarter grid systems, deployment of emerging renewable electricity projects, and deployment of renewable energy to reduce the reliance of diesel generated heat and power in rural and remote communities.",BH-PP-038,BH-PP-038,593000,1/30/19,3/31/19,This project involves the installation of proven biomass heating or combined heat and power technology to displace fossil fuel use and reduce GHG emissions in a Canadian rural or remote community.,The expected results include the displacement of fossil fuels and the reduction of GHG emissions.,Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
206494,115-2018-2019-Q4-07848,WIKWEMIKONG DEVELOPMENT COMMISSION,WIKWEMIKONG | WIKWEMIKONG,Clean Energy in Rural and Remote Communities Bioheat Program component,"The objective is to support the reduction of greenhouse gas emissions from Canada's energy sector through a set of deployment programs which allow for a smarter grid systems, deployment of emerging renewable electricity projects, and deployment of renewable energy to reduce the reliance of diesel generated heat and power in rural and remote communities.",BH-PP-037,BH-PP-037,1997750,3/24/19,3/31/20,This project involves the installation of proven biomass heating or combined heat and power technology to displace fossil fuel use and reduce GHG emissions in a Canadian rural or remote community.,The expected results include the displacement of fossil fuels and the reduction of GHG emissions.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
