recipient_city,year,agreement_value
Amherst Shore,2018,1320
Amherstburg,2010,282172
Amherstburg,2015,48356
Amherstburg,2016,53373
Amherstburg,2018,105373
"Amherstburg, Ontario",2017,29374
Amherstview,2018,8190
Amman,2014,315000
Amos,2006,114498
Amos,2007,25594
Amos,2008,244205
Amos,2009,94169
Amos,2010,31088
Amos,2011,98949
Amos,2012,169519
Amos,2013,97092
Amos,2016,128080
Amos,2018,83782
Amos,2019,243056
"Amos, Quebec|Amos, Québec",2017,113082
Amqui,2006,122861
Amqui,2007,129851
Amqui,2008,110937
Amqui,2009,49985
Amqui,2010,292200
Amqui,2011,168008
Amqui,2012,80876
Amqui,2018,66727
Amqui,2019,256638
"Amqui, Quebec|Amqui, Québec",2018,90000
Anahim Lake,2018,2660
Anahim Lake,2019,4852
Ancaster,2006,42010
Ancaster,2007,39000
Ancaster,2008,36574
Ancaster,2009,68084
Ancaster,2010,63767
Ancaster,2011,58037
Ancaster,2012,55486
Ancaster,2013,26270
Ancaster,2014,25110
Ancaster,2016,106841
Ancaster,2018,238221
"Ancaster, Ontario",2017,46966
"Ancaster, Ontario",2018,285201
Anchor Point,2018,3243
Anchor Point,2019,3871
Ancienne-Lorette,2019,15934
Anderson Road,2019,25000
Andrew,2018,3264
Andrew,2019,4200
Ange-Gardien,2018,7560
Ange-Gardien,2019,17500
Angliers,2018,13175
Angliers,2019,56703
Angus,2018,21907
Angus,2019,4430
Anjou,2006,148830
Anjou,2012,89569
Anjou,2016,383472
Anjou,2018,255405
Anjou,2019,586763
"Anjou, Quebec|Anjou, Québec",2017,578916
Annaheim,2018,1316
Annaheim,2019,19806
Annapolis Royal,2006,29509
Annapolis Royal,2007,30012
Annapolis Royal,2008,45000
Annapolis Royal,2010,29823
Annapolis Royal,2018,42223
Annapolis Royal,2019,101493
Anse Bleue,2019,7192
Anse des Belliveau,2019,6190
Anse-Bleue,2018,3076
Antigonish,2006,339269
Antigonish,2007,238243
Antigonish,2008,202632
Antigonish,2009,25542
Antigonish,2011,1297817
Antigonish,2018,197193
Antigonish,2019,235669
Antigonish County,2018,9512
"Antigonish, Nova Scotia|Antigonish, Nouvelle-Écosse",2017,26064
"Antigonish, Nova Scotia|Antigonish, Nouvelle-Écosse",2018,110792
Apohaqui,2018,4551
Apohaqui,2019,5934
Appin,2018,3360
Appleton,2018,8956
Appleton,2019,9165
Apsley,2018,8400
Arborfield,2018,9208
Arborfield,2019,10840
Arborg,2018,32908
Arborg,2019,45956
Arcadia,2018,1540
Arcadia,2019,2775
Archerwill,2018,1316
Arcola,2018,2302
Arcola,2019,1549
"Arden, Ontario",2017,41664
Ardrossan,2018,33085
Ardrossan,2019,10500
Argyle,2008,77510
Argyle,2019,17551
Arichat,2018,46790
Arichat,2019,87291
Arichat ,2018,6872
Arisaig,2018,4976
Arisaig,2019,3611
Ariss,2018,3797
Arkell,2008,50000
Arkona,2018,11760
Armagh,2018,7022
Armagh,2019,18468
Armena,2018,1632
Armena,2019,2100
Armstrong,2011,62000
Armstrong,2012,1278818
Armstrong,2015,50451
Armstrong,2018,76271
Armstrong,2019,70253
"Armstrong, British Columbia|Armstrong, Colombie-Britannique",2017,30540
Arnold's Cove,2018,22204
Arnold's Cove,2019,15624
Arnprior,2013,50000
Arnprior,2014,50000
Arnprior,2015,38805
Arnprior,2018,47651
Arnprior,2019,49080
Aroland,2018,16611
Arthur,2007,45950
Arthur,2018,3797
Arthurette,2018,7530
Arundel,2018,3960
Arundel,2019,34898
Arva,2011,29041
Arva,2018,10080
Arviat,2010,2475000
Arviat,2018,16332
Asbestos,2006,218101
Asbestos,2007,225018
Asbestos,2008,200712
Asbestos,2009,179856
Asbestos,2010,352936
Asbestos,2011,665690
Asbestos,2013,33467
Asbestos,2015,190779
Asbestos,2016,155698
Asbestos,2018,57504
Asbestos,2019,326198
Ascot Corner,2018,2160
Ascot Corner,2019,17500
Ashburn,2006,134948
Ashburn,2007,131087
Ashburn,2008,150585
Ashburn,2009,136431
Ashburn,2012,97162
Ashburn,2013,48120
Ashburn,2018,51274
Ashburn,2019,55250
"Ashburn, Ontario",2017,35568
"Ashburn, Ontario",2018,36396
Ashcroft,2018,12974
Ashcroft,2019,68219
Ashern,2017,19500
Ashern,2018,11979
Ashern,2019,6864
Ashmore,2018,3436
Ashmore,2019,3611
Ashton,2018,18480
Ashton,2019,0
Aspen,2018,3436
Aspen,2019,3095
Assiniboia,2018,10041
Assiniboia,2019,27359
Aston-Jonction,2018,5764
Aston-Jonction,2019,11950
Astra,2018,21357
Athabasca,2007,464754
Athabasca,2013,42265
Athabasca,2018,58780
Athabasca,2019,46989
Athens,2018,5040
Atholville,2018,9236
Atholville,2019,11270
Atikameg,2010,4541439
Atikameg,2016,420000
Atikokan,2011,69000
Atikokan,2018,62856
Atlin,2012,678252
Attawapiskat,2006,7870958
Attawapiskat,2018,30374
"Attawapiskat, Ontario",2017,28856
Atwood,2018,1260
Auburn,2018,4900
Auclair,2018,9315
Auclair,2019,22936
Audet,2018,3294
Audet,2019,6830
Aulac,2018,1802
Aulac,2019,1840
Aumond,2018,1440
Aumond,2019,3938
Aurora,2007,134711
Aurora,2009,146886
Aurora,2010,74984
Aurora,2012,99923
Aurora,2013,106068
Aurora,2016,235774
Aurora,2018,586980
Aurora,2019,230492
"Aurora, Ontario",2017,107600
Austin,2014,50000
Austin,2018,8657
Austin,2019,17736
Auteuil,2019,15936
Authier,2018,7848
Authier,2019,15934
Authier-Nord,2019,4000
Avondale,2018,24071
Avondale,2019,22754
Avonlea,2018,7411
Avonlea,2019,6668
Ayer's Cliff,2018,59078
Ayer's Cliff,2019,136604
"Ayer's Cliff, Quebec|Ayer's Cliff, Québec",2017,30000
"Ayer's Cliff, Quebec|Ayer's Cliff, Québec",2018,49900
Ayers Cliff,2019,13090
Aylesford,2018,15898
Aylesford,2019,16318
Aylmer,2008,50000
Aylmer,2012,30000
Aylmer,2013,28912
Aylmer,2014,30855
Aylmer,2015,50000
Aylmer,2016,31128
Aylmer,2018,121500
Aylmer,2019,33828
"Aylmer, Ontario",2017,29066
"Aylmer, Ontario",2018,50000
Ayr,2010,93546
Ayr,2011,196849
Ayr,2012,206902
Ayr,2013,253919
Ayr,2016,416254
Ayr,2018,21402
Ayr,2019,106726
Ayton,2008,50000
Ayton,2018,1680
Azilda,2018,5040
Azilda,2019,128975
"Azilda, Ontario",2018,278242
BANCROFT,2019,5119
BANFF,2019,12600
BEAUMONT,2019,8400
BEAVERLODGE,2019,4200
BERWYN,2019,4200
BIG RIVER,2019,21543
BOISBRIAND,2018,12488
BOWMANVILLE,2019,49542
BRAMPTON,2018,1680
BRAMPTON,2019,0
BRANDON,2019,12640
BRANTFORD,2019,0
BROSSARD,2018,1260
BUENA VISTA,2019,4646
BURLINGTON,2019,0
BURNABY,2019,47891
BURWASH LANDING,2019,12145
Back Bay,2019,3082
Baddeck,2018,115299
Baddeck,2019,100808
Baden,2018,16380
Badger,2019,6840
Badger's Quay,2019,27627
Badgers Quay,2018,14266
Baie Sainte-Anne,2019,2760
Baie St-Paul,2006,109535
Baie St-Paul,2008,38340
Baie St-Paul,2019,0
Baie Verte,2006,48652
Baie Verte,2007,48879
Baie Verte,2008,82077
Baie Verte,2009,48835
Baie Verte,2010,95021
Baie Verte,2018,82052
Baie Verte,2019,116570
"Baie d'Urfe, Quebec|Baie d'Urfe, Québec",2017,29218
Baie d'Urfé,2018,4941
Baie de Bouctouche,2018,1183
Baie de Bouctouche,2019,1208
Baie-Comeau,2006,203791
Baie-Comeau,2007,296594
Baie-Comeau,2008,135035
Baie-Comeau,2009,301014
Baie-Comeau,2010,282339
Baie-Comeau,2011,232845
Baie-Comeau,2012,300430
Baie-Comeau,2013,97316
Baie-Comeau,2014,293592
Baie-Comeau,2015,99614
Baie-Comeau,2016,229047
Baie-Comeau,2018,200929
Baie-Comeau,2019,622520
"Baie-Comeau, Quebec|Baie-Comeau, Québec",2017,697266
Baie-D'Urfé,2018,35968
Baie-D'Urfé,2019,92236
Baie-Johan-Beetz,2018,5711
Baie-Johan-Beetz,2019,10500
Baie-Saint-Paul,2006,286854
Baie-Saint-Paul,2007,25834
Baie-Saint-Paul,2008,260214
Baie-Saint-Paul,2009,79811
Baie-Saint-Paul,2010,25041
Baie-Saint-Paul,2011,130198
Baie-Saint-Paul,2012,156730
Baie-Saint-Paul,2013,25689
Baie-Saint-Paul,2014,124849
Baie-Saint-Paul,2015,327128
Baie-Saint-Paul,2016,780762
Baie-Saint-Paul,2018,58971
Baie-Saint-Paul,2019,237202
"Baie-Saint-Paul, Quebec|Baie-Saint-Paul, Québec",2017,580748
Baie-Sainte-Anne,2018,14461
Baie-Sainte-Anne,2019,3596
Baie-St-Paul,2006,97650
Baie-St-Paul,2008,31936
Baie-St-Paul,2009,125688
Baie-St-Paul,2010,98647
Baie-Trinité,2018,5711
Baie-Trinité,2019,14525
Baie-d'Urfé Montréal,2019,3938
Baie-du-Febvre,2009,64168
Baie-du-Febvre,2018,20174
Baie-du-Febvre,2019,45888
Bailey's Brook,2019,1388
Bainsville,2018,7594
Baker Brook,2019,5970
Baker-Brook,2008,50000
Baker-Brook,2018,13471
Baker-Brook,2019,12398
Bala,2018,6720
Balcarres,2018,987
Balcarres,2019,8287
Baldur,2018,9303
Baldur,2019,3686
Balfour,2018,3036
Balfour,2019,6648
Balgonie,2006,89545
Balgonie,2018,6579
Balgonie,2019,11376
Ballantyne's Cove,2019,4160
Ballantynes Cove,2018,4976
Balls Creek,2018,1650
Balls Creek,2019,1388
Balmertown,2015,50000
"Balmertown, Ontario",2018,50000
Balmoral,2018,49406
Balmoral,2019,54796
Bamfield,2018,24153
Bamfield,2019,26466
Bancroft,2007,39102
Bancroft,2010,92842
Bancroft,2011,87267
Bancroft,2012,175345
Bancroft,2013,193496
Bancroft,2015,38220
Bancroft,2018,78402
Bancroft,2019,126334
Banff,2007,26970
Banff,2018,62737
Banff,2019,154200
Bangor,2018,3047
Bangor,2019,3591
Barachois,2018,2882
Barachois,2019,27900
Barachois Brook,2018,2986
Barkerville,2018,27887
Barkerville,2019,23996
"Barkerville, British Columbia|Barkerville, Colombie-Britannique",2018,33995
Barkmere,2018,1440
Barkmere,2019,3500
Barney's River,2019,6190
Barney's River Station,2018,2945
Barraute,2018,18058
Barraute,2019,47540
Barrhaven,2018,3360
Barrhead,2018,42728
Barrhead,2019,29428
Barrie,2006,904740
Barrie,2007,700589
Barrie,2008,1309424
Barrie,2009,2628820
Barrie,2010,1597113
Barrie,2011,4565283
Barrie,2012,1078680
Barrie,2013,780965
Barrie,2014,379846
Barrie,2015,829579
Barrie,2016,826757
Barrie,2018,891902
Barrie,2019,275592
"Barrie, Ontario",2017,6917724
"Barrie, Ontario",2018,36725
Barriere,2018,56569
Barriere,2019,147358
Barrington,2018,14792
Barrington,2019,20040
Barry's Bay,2013,33240
Barry's Bay,2015,100000
Barry's Bay,2017,50001
Barry's Bay,2018,48788
Barry's Bay,2019,1890
"Barry's Bay, Ontario",2017,50000
Barrys Bay,2015,97061
Barrys Bay,2019,0
Barryville,2019,25000
Bartibog Bridge,2019,4109
Bartlett's Harbour,2018,2986
Bartlett's Harbour,2019,3819
Barwick,2011,41810
Barwick,2018,3360
Bas-Caraquet,2018,40622
Bas-Caraquet,2019,64644
Bashaw,2018,25632
Bashaw,2019,85423
Bass River,2018,8846
Bass River,2019,9142
Bassin,2019,3500
Batawa,2018,13801
Batchawana Bay,2018,5040
Batchewana First Nation,2016,42718
Batchewana First Nation,2018,34609
Batchewana First Nation,2019,55375
"Batchewana First Nation, Ontario",2017,32469
Bath,2018,42954
Bath,2019,31373
Bathrust,2009,37200
Bathurst,2006,284826
Bathurst,2007,437261
Bathurst,2008,622390
Bathurst,2009,2159427
Bathurst,2010,662075
Bathurst,2011,163785
Bathurst,2012,763457
Bathurst,2014,2591580
Bathurst,2018,187164
Bathurst,2019,5915528
"Bathurst, New Brunswick|Bathurst, Nouveau-Brunswick",2018,25000
Batiscan,2006,66284
Batiscan,2018,20200
Batiscan,2019,50804
Battleford,2013,50000
Battleford,2018,9207
Battleford,2019,10176
Bauline,2019,6840
"Bawlf, Alberta",2018,50000
Bay Bulls,2006,54210
Bay Bulls,2011,27300
Bay Bulls,2018,99885
Bay Bulls,2019,95751
Bay Du Vin,2019,2013
Bay L'Argent,2018,2985
Bay L'Argent,2019,3119
Bay Roberts,2007,72043
Bay Roberts,2008,53012
Bay Roberts,2011,27304
Bay Roberts,2012,65565
Bay Roberts,2013,65615
Bay Roberts,2014,65539
Bay Roberts,2015,67436
Bay Roberts,2016,69086
Bay Roberts,2018,75371
Bay Roberts,2019,136787
"Bay Roberts, Newfoundland and Labrador|Bay Roberts, Terre-Neuve-et-Labrador",2017,70486
Bay St. Lawrence,2018,17646
Bay St. Lawrence,2019,11610
Bay de Verde,2018,10887
Bay de Verde,2019,12347
Bay du Vin,2018,19147
Bay du Vin,2019,10788
Bayfield,2018,43660
Bayfield,2019,15266
Bayside,2018,1577
Bayswater,2019,25000
Baytona,2019,1368
Beachburg,2018,7997
Beachville,2018,3797
Beaconsfield,2006,30454
Beaconsfield,2007,32177
Beaconsfield,2015,50000
Beaconsfield,2016,70781
Beaconsfield,2018,149890
Beaconsfield,2019,413793
"Beaconsfield, Quebec|Beaconsfield, Québec",2017,101796
"Beaconsfield, Quebec|Beaconsfield, Québec",2018,50000
Beamsville,2016,45765
Beamsville,2018,125313
Beamsville,2019,31300
"Beamsville, Ontario",2017,32466
"Beamsville, Ontario",2018,36501
"Bear Island, Ontario",2017,25536
Bear River,2018,6382
Bear River,2019,47292
Beardmore,2018,11225
Beardmore,2019,25000
"Beardmore, Ontario",2017,47060
Beardsley,2018,1802
Beardsley,2019,1840
Bearn,2011,93838
Bearskin Lake,2019,25000
Beasmville,2018,5040
Beau Bois,2018,2986
Beau Bois,2019,3055
Beaubassin East,2019,3852
Beaucanton,2018,4734
Beaucanton,2019,15936
Beauceville,2006,130000
Beauceville,2018,20121
Beauceville,2019,32002
Beauharnois,2006,130631
Beauharnois,2007,349943
Beauharnois,2008,94164
Beauharnois,2010,190960
Beauharnois,2011,156605
Beauharnois,2012,84328
Beauharnois,2014,41520
Beauharnois,2016,232355
Beauharnois,2018,68403
Beauharnois,2019,479632
"Beauharnois, Quebec|Beauharnois, Québec",2016,111016
Beaulac-Garthby,2018,3551
Beaulac-Garthby,2019,9080
Beaumont,2010,25564
Beaumont,2015,50000
Beaumont,2018,21204
Beaumont,2019,78233
Beauport,2006,250063
Beauport,2007,26667
Beauport,2018,6176
Beaupré,2018,25936
Beaupré,2019,46266
Beausejour,2006,85071
Beausejour,2007,85279
Beausejour,2008,87217
Beausejour,2009,88751
Beausejour,2010,71752
Beausejour,2011,95332
Beausejour,2012,91934
Beausejour,2013,49283
Beausejour,2018,30585
Beausejour,2019,70271
Beausejour Mb.,2019,3686
"Beausejour, Manitoba",2018,49488
Beausjour,2019,18217
Beauval,2018,8726
Beaver Bank,2018,15342
Beaver Bank,2019,21826
Beaver Harbour,2018,2700
Beaver harbour,2019,3082
Beaverlodge,2013,50000
Beaverlodge,2018,29971
Beaverlodge,2019,14940
Beaverton,2018,40766
Bedell,2018,4016
Bedell,2019,5489
Bedeque,2019,1472
Bedford,2007,27316
Bedford,2018,217318
Bedford,2019,371613
Beech Hill,2018,2640
Beech Hill,2019,4162
Beechville,2018,8721
Beechville,2019,4046
Beechwood,2019,3082
Beechy,2018,1316
Beersville,2018,7028
Beersville,2019,3082
Beeton,2013,50000
Beeton,2014,35000
Beeton,2018,29501
Beeton,2019,0
"Beeton, Ontario",2017,37100
Behchoko,2010,4385142
Behchoko,2019,62354
"Behchoko, Northwest Territories|Behchoko, Territoires du Nord-Ouest",2017,77615
Behchokö,2018,6913419
Beiseker,2018,4998
Beiseker,2019,7200
Belcarra,2006,48923
Belcarra,2008,49787
Belcarra,2009,59585
Belcarra,2010,53986
Belcarra,2011,51113
Belcarra,2012,61880
Belcarra,2013,60270
Belcarra,2014,59040
Belcarra,2015,66420
Belcarra,2016,98590
Belcarra,2018,132752
Belcarra,2019,100681
"Belcarra, British Columbia|Belcarra, Colombie-Britannique",2017,97737
Belcourt,2018,2520
Belcourt,2019,7000
Belfast,2018,13026
Belfast,2019,17105
Belgrave,2018,3360
Bell Island,2007,36064
Bell Island,2008,39915
Bell Island,2011,40954
Bell Island,2012,40980
Bell Island,2013,46473
Bell Island,2014,41010
Bell Island,2015,73053
Bell Island,2016,83468
Bell Island,2018,112392
Bell Island,2019,127526
"Bell Island, Newfoundland and Labrador|Bell Island, Terre-Neuve-et-Labrador",2017,78225
Bella Bella,2008,95740
Bella Bella,2009,97877
Bella Bella,2010,3133692
Bella Bella,2011,98826
Bella Bella,2012,99577
Bella Bella,2015,27060
Bella Bella,2018,37237
Bella Bella,2019,37336
"Bella Bella, British Columbia|Bella Bella, Colombie-Britannique",2017,480501
Bella Coola,2018,32475
Bella Coola,2019,8822
Belle Côte,2019,1619
Belle River,2007,27726
Belle River,2018,27462
Belle River,2019,1717
"Belle River, Ontario",2018,47304
Belle Vallee,2018,1680
Belledune,2018,1577
Belledune,2019,1610
Bellegarde,2018,2631
Bellegarde,2019,3078
Belleisle Creek,2018,1183
Belleisle Creek,2019,2990
Belleoram,2018,10451
Belleoram,2019,18021
Belleterre,2018,1260
Belleterre,2019,80780
Belleville,2006,282076
Belleville,2008,237108
Belleville,2010,79247
Belleville,2011,527177
Belleville,2012,188444
Belleville,2013,186973
Belleville,2014,820473
Belleville,2016,3382728
Belleville,2018,492837
Belleville,2019,2701840
Bellevue,2018,13523
Bellevue,2019,5790
Bellevue Beach,2019,2736
Belliveau Cove,2018,2946
Belliveau Cove,2019,11299
Belmont,2018,4781
Belmont,2019,3160
Beloeil,2007,367809
Beloeil,2008,392565
Beloeil,2018,214622
Beloeil,2019,439427
"Beloeil, Quebec|Beloeil, Québec",2017,30918
"Beloeil, Quebec|Beloeil, Québec",2018,45500
Belwood,2018,15994
Ben Eoin,2018,14481
Ben Eoin,2019,14844
Bengough,2018,11355
Bengough,2019,16472
Benito,2019,7265
Benoit,2018,3076
Benoit,2019,3596
Benoit's Cove,2018,17912
Benoit's Cove,2019,10520
Benton,2018,4016
Benton,2019,4109
Beresford,2018,27788
Beresford,2019,38370
Berry,2018,4142
Berry,2019,11732
Berry Mills,2007,27600
Berry Mills,2019,3596
Berthier-sur-Mer,2018,16878
Berthier-sur-Mer,2019,7968
Berthierville,2007,214485
Berthierville,2008,220079
Berthierville,2018,69424
Berthierville,2019,185630
Bertrand,2018,17469
Bertrand,2019,14835
Berwick,2006,240410
Berwick,2007,316311
Berwick,2009,562229
Berwick,2011,44850
Berwick,2018,55720
Berwick,2019,50359
Berwyn,2018,4896
Bethany,2018,1680
Bethel,2018,1577
Bethel,2019,1610
Bethune,2018,1316
Bethune,2019,1549
Bewdley,2019,16600
Bezanson,2018,3709
Bezanson,2019,4095
Bible Hill,2018,12676
Bible Hill,2019,16190
Bickerton West,2018,3436
Bickerton West,2019,25095
Biencourt,2018,8235
Biencourt,2019,3000
Bienfait,2018,5262
Bienfait,2019,4646
Big Beaver,2019,2655
Big Bras d'Or,2006,282670
Big Bras d'Or,2018,1650
Big Bras d'Or,2019,1388
Big Cove,2009,72739
Big Cove,2019,16740931
Big Pond,2018,3436
Big Pond,2019,8610
Big Pond ,2018,1485
Big River,2018,36147
Big River,2019,71247
Big Tancook Island,2018,1540
Big Tancook Island,2019,5230
Big Trout Lake,2012,49774
Big Trout Lake,2018,22782
"Big Trout Lake, Ontario",2017,41490
Big Valley,2018,13946
Big Valley,2019,14767
Biggar,2018,19282
Biggar,2019,62771
Binbrook,2018,3797
"Binbrook, Ontario",2017,32850
Binscarth,2018,6202
Binscarth,2019,10531
Birch Hill,2018,1619
Birch Hill,2019,1717
Birch Hills,2018,10940
Birch Hills,2019,18732
Birch Island,2018,9966
Birch Island,2019,25000
Birchy Bay,2007,81141
Birchy Bay,2018,6096
Birchy Bay,2019,6238
Birchy Head,2018,1340
Birchy Head,2019,1368
Bird Cove,2019,3055
Birsay,2019,1328
Birtle,2018,2676
Birtle,2019,21943
Bishop's Falls,2006,34464
Bishop's Falls,2007,90940
Bishop's Falls,2008,79940
Bishop's Falls,2009,37976
Bishop's Falls,2010,33915
Bishop's Falls,2011,27150
Bishop's Falls,2018,56132
Bishop's Falls,2019,62495
Black Cape,2018,3294
Black Creek,2018,11044
Black Creek,2019,3781
Black Diamond,2018,12760
Black Diamond,2019,47773
Black Lake First Nation,2019,17953
Black Point,2018,1352
Black Point,2019,1610
Black River,2018,3154
Black River,2019,26610
Black River Bridge,2019,1725
Black River Lake,2019,3468
Black Rock,2019,4514
Black Tickle,2018,5972
Black Tickle,2019,6110
Blackfalds,2018,19908
Blackfalds,2019,8940
Blackfoot,2019,9556
Blackie,2019,25000
Blackland,2018,3514
Blacks Harbour,2018,11873
Blacks Harbour,2019,18546
Blackstock,2018,29938
Blackstock,2019,0
Blackville,2018,14207
Blackville,2019,28722
Blaine Lake,2018,3947
Blaine Lake,2019,3097
Blainville,2006,104113
Blainville,2007,147392
Blainville,2008,146814
Blainville,2009,99657
Blainville,2010,99858
Blainville,2011,136703
Blainville,2012,94618
Blainville,2016,27692
Blainville,2018,226319
Blainville,2019,509655
"Blainville, Quebec|Blainville, Québec",2017,36072
Blairmore,2006,57092
Blairmore,2007,40772
Blairmore,2008,49624
Blairmore,2009,49970
Blairmore,2010,116864
Blairmore,2012,63613
Blairmore,2013,54732
Blairmore,2018,18397
Blairmore,2019,35933
Blaketown,2018,12574
Blaketown,2019,15466
Blanc-Sablon,2019,6972
Blandford,2018,4620
Blandford,2019,4625
Blenheim,2018,72761
Blenheim,2019,8860
Blind Bay,2018,6074
Blind Bay,2019,2493
Blind River,2018,34979
Blind River,2019,47244
Blockhouse,2018,6872
Blockhouse,2019,19462
Bloomfield,2018,15938
Bloomfield,2019,3012002
Blue Mountains,2018,7594
Blue Ridge,2019,8131
Blue River,2019,2426
Blue Sea,2018,12401
Blue Sea,2019,27654
Bluffton,2007,26217
Bluffton,2010,34496
Bluffton,2018,13056
Bluffton,2019,16800
Blyth,2015,50000
Blyth,2018,15557
Blyth,2019,47142
Boat Harbour,2006,35051
Boat Harbour,2008,29936
Boat Harbour,2009,34382
Boat Harbour,2010,25726
Boat Harbour,2011,32763
Boat Harbour,2012,30052
