,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
196214,230-2018-2019-04-0002,Holland Bloorview Kids Rehabilitation Hospital,Toronto,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,511898,311111,2/1/19,3/31/20,An accessible tech project to develop a vocal cord vibration sensor that provides hands free access to digital devices,"The expected results of the Program are to develop affordable and eventually commercially available new technology for Canadians with disabilities.  This new technology will provide Canadians with disabilities, improved access to the digital economy, while also enhancing their employability and marketability.","Multi-Year Grant or Contribution, 2018/19 to 2019/20; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196213,230-2018-2019-04-0001,Reality Controls Inc.,Vancouver,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,511897,47000,2/1/19,3/31/21,Project to develop accessible technology with an Android application which will centralize interfaces and automate individual control features.,"The expected results of the Program are to develop affordable and eventually commercially available new technology for Canadians with disabilities.  This new technology will provide Canadians with disabilities, improved access to the digital economy, while also enhancing their employability and marketability.","Multi-Year Grant or Contribution, 2018/19 to 2020/21; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196058,230-2018-2019-02-0007,Assistyv inc.,Quebec,Accessible Technology Development Program,,,511737,21000,6/1/18,2/28/19,A software development that enables people living with physical disabilities to control their computer using head movements and a standard webcam through what is called AssystMouse.,,"· Multi-Year Grant or Contribution, 2017/18 to 2018/19","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196219,230-2018-2019-04-0006,Computers for Success - Canada Incorporated,Montréal,Affordable Access Initiative,The objective of the Initiative is to help bridge the digital divide for Canadian families who may struggle to afford access to Internet or a computer at home.,,511588,12113317,10/1/17,3/31/22,2017-2022 Funding for the Connecting Families initiative - Computers for Success - Canada Incorporated,"The expected results of the program is to connect hundreds of thousands of low-income families to the Internet through participating Internet service providers through a secure online portal. In addition, up to 50,000 refurbished computers will be provided to eligible families at no cost.","Multi-Year Grant or Contribution, 2017/18 to 2021/22; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196519,230-2019-2020-06-0103,Canarie Inc.,Ottawa,CANARIE,Funding of CANARIE Inc.,,512460,137000000,4/1/20,3/31/24,"CANARIE will: 
- continue to operate the CANARIE network as essential research infrastructure;                  - develop, demonstrate, and implement next-generation technologies to advance, the CANARIE network as a leading-edge research network; and,                                                               - leverage the network to assist firms operating in Canada and Canadian universities to advance innovation and commercialization of products and services to bolster Canada’s technology innovation capabilities.","•enhance opportunities for collaborative knowledge creation and innovation within Canada's research and education communities through the maintenance and development of the CANARIE Network and related tools and services;
•expand the research and education community's access to and utilization of the CANARIE Network and the availability of tools and programming that increase the effectiveness of its use; and
•enable the creation of innovative information and communication technologies products and services and accelerate their commercialization in Canada.",,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196516,230-2019-2020-06-0100,Canarie Inc.,Ottawa,CANARIE,Funding of CANARIE Inc.,,510935,113658824,4/1/15,3/31/20,"CANARIE's network connects more than one million scientists, researchers and educators at over 1,100 institutions across Canada. These collaborations stimulate research, innovation and growth, which d",,"value changed from $105,000,000 to $113,658,824 as per contract amendment 2015/16 to 2019/20","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196220,230-2018-2019-04-0007,Canada Foundation For Innovation,Ottawa,CND FOUNDATION INNOV,Core Funding for Non Profit Foundation,,511853,1970310000,12/1/18,3/31/26,"Funding for the CFI, which invests in state-of-the-art research infrastructure in Canada’s universities, colleges, research hospitals and non-profit research institutions.",,"Multi-Year Grant or Contribution, 2018/19 to 2025/26; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195996,GC-2018-19 Q1-00010,Prov Info Equipment Recycling & Refurbishing Enterprises Inc,St. John's,COMPUTERS FOR SCHOOL,,,510885,544439,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Newfoundland and Labrador,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $481,873 to $544,439 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195990,GC-2018-19 Q1-00006,Computers for Success - Canada Incorporated,Montréal,COMPUTERS FOR SCHOOL,,,511407,699655,4/1/17,,2015-2018 Funding for the Computers for Schools Program operations,,"· Multi-Year Grant or Contribution, 2017/18 to 2018/19; Material Restatement, value changed from $490,000 to $699,655 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195989,GC-2018-19 Q1-00005,Computers for Education Technology New Brunswick Ltd.,Fredericton,COMPUTERS FOR SCHOOL,,,510880,688366,4/1/15,,2015-2018 Funding for the Computers for Schools Program in New Brunswick ,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $594,220 to $688,366 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195987,GC-2018-19 Q1-00004,British Columbia Technology for Learning Society,Burnaby,COMPUTERS FOR SCHOOL,,,510860,1026483,4/1/15,,2015-2018 Funding for the Computers for Schools Program in British Columbia ,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $900,625 to $1,026,483 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195986,GC-2018-19 Q1-00003,Alberta Computers for Schools Association,Edmonton,COMPUTERS FOR SCHOOL,,,510862,1034957,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Alberta ,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $906,368 to $1,034,957 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195993,GC-2018-19 Q1-00008,Nova Scotia Education Common Services Bureau,Halifax,COMPUTERS FOR SCHOOL,,,510878,600858,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Nova Scotia,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $530,763 to $600,858 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196004,GC-2018-19 Q1-00015,Smart Communities Society,Yellowknife,COMPUTERS FOR SCHOOL,,,510866,604288,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Northwest Territories,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $533,658 to $604,288 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196003,GC-2018-19 Q1-00014,Saskatchewan Technology Renewal Inc.,Regina,COMPUTERS FOR SCHOOL,,,510876,710771,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Saskatchewan,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $612,000 to $710,771 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195985,GC-2018-19 Q1-00002,3925260 Manitoba Association Inc.,Winnipeg,COMPUTERS FOR SCHOOL,,,510864,791072,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Manitoba,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19;  Material Restatement, value changed from $688,900 to $791,072 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196001,GC-2018-19 Q1-00013,Renewed Computer Technologies (Ontario),Mississauga,COMPUTERS FOR SCHOOL,,,510854,3222919,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Ontario,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19;  Material Restatement, value changed from $2,837,494 to $3,222,919 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195999,GC-2018-19 Q1-00012,Relance Outaouais (La),Gatineau,COMPUTERS FOR SCHOOL,,,511501,2269910,4/1/17,,2015-2018 Funding for the Computers for Schools Program in Outaouais,,"· Multi-Year Grant or Contribution, 2017/18 to 2018/19; Material Restatement, value changed from $1,581,211 to $2,269,910 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195998,GC-2018-19 Q1-00011,Raven Recycling Society,Whitehorse,COMPUTERS FOR SCHOOL,,,510858,403443,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Yukon,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $352,195 to $403,443 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195995,GC-2018-19 Q1-00009,OPEQ (Ordinateurs pour les écoles du QC),Verdun,COMPUTERS FOR SCHOOL,,,510868,1904303,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Quebec,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19; Material Restatement, value changed from $1,683,000 to $1,904,303 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
195991,GC-2018-19 Q1-00007,Government of Prince Edward Island,Charlottetown,COMPUTERS FOR SCHOOL,,,510883,166363,4/1/15,,2015-2018 Funding for the Computers for Schools Program in Prince Edward Island,,"· Multi-Year Grant or Contribution, 2015/16 to 2018/19;  Material Restatement, value changed from $144,000 to $166,363 as per contract amendment","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196131,230-2018-2019-03-0004,Computers for Education Technology New Brunswick Ltd.,Fredericton,COMPUTERS FOR SCHOOLS,,,511826,889056,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Computers for Education Technology New Brunswick Ltd.,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196128,230-2018-2019-03-0001,Alberta Computers for Schools Association,Edmonton,COMPUTERS FOR SCHOOLS,,,511820,1357732,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Alberta Computers for Schools Association,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196129,230-2018-2019-03-0002,British Columbia Technology for Learning Society,Burnaby,COMPUTERS FOR SCHOOLS,,,511822,1161402,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program -  British Columbia Technology for Learning Society,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196130,230-2018-2019-03-0003,3925260 Manitoba Association Inc.,Winnipeg,COMPUTERS FOR SCHOOLS,,,511824,1123892,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - 3925260 Manitoba Association Inc.,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196133,230-2018-2019-03-0005,Prov Info Equipment Recycling & Refurbishing Enterprises Inc,St. John's,COMPUTERS FOR SCHOOLS,,,511828,660619,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Prov Info Equipment Recycling & Refurbishing Enterprises Inc,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196134,230-2018-2019-03-0006,Nova Scotia Education Common Services Bureau,Halifax,COMPUTERS FOR SCHOOLS,,,511830,740130,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Nova Scotia Education Common Services Bureau,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196135,230-2018-2019-03-0007,Smart Communities Society,Yellowknife,COMPUTERS FOR SCHOOLS,,,511832,776936,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Smart Communities Society,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196136,230-2018-2019-03-0008,Renewed Computer Technologies (Ontario),Mississauga,COMPUTERS FOR SCHOOLS,,,511834,3898691,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Renewed Computer Technologies (Ontario),,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196137,230-2018-2019-03-0009,OPEQ (Ordinateurs pour les écoles du QC),Verdun,COMPUTERS FOR SCHOOLS,,,511838,2434328,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - OPEQ (Ordinateurs pour les écoles du QC),,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196138,230-2018-2019-03-0010,Saskatchewan Technology Renewal Inc.,Regina,COMPUTERS FOR SCHOOLS,,,511840,1042894,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Saskatchewan Technology Renewal Inc.,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196139,230-2018-2019-03-0011,Raven Recycling Society,Whitehorse,COMPUTERS FOR SCHOOLS,,,511842,541113,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Raven Recycling Society,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196140,230-2018-2019-03-0012,Computers for Success - Canada Incorporated,Montréal,COMPUTERS FOR SCHOOLS,,,511844,2095584,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Computers for Success - Canada Incorporated,,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196142,230-2018-2019-03-0013,Relance Outaouais (La),Gatineau,COMPUTERS FOR SCHOOLS,,,511846,7274074,10/1/18,3/31/24,2018-2024 Funding for the Computers for Schools Program - Relance Outaouais (La),,"Multi-Year Grant or Contribution, 2018/19 to 2023/24","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196637,230-2019-2020-09-0129,Taking IT Global Youth Association,Toronto,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512543,2600000,6/21/19,3/31/21,"The ""Code to Learn / Create to Learn"" project delivers digital skills training to K-12 students/teachers, focusing on females, Indigenous youth, and youth residing in rural or remote communities.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196636,230-2019-2020-09-0128,Saskatoon Industry Education Council Inc.,Saskatoon,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512532,1136897,6/21/19,3/31/21,Saskatoon Industry Education Council will expand their reach to rural and remote students in Saskatchewan and will provide coding and digital skills programming to 90K students across the province.,,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196645,230-2019-2020-09-0137,Black Boys Code Society,Vancouver,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512578,513924,6/21/19,3/31/21,"The ""Black Boys Code Eight City Expansion"" project features black male volunteers teaching black boys between ages 8 to 17 years digital literacy skills through workshops hosted at university and college campuses across Canada.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196644,230-2019-2020-09-0136,Boys and Girls Clubs Of Canada,Toronto,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512577,1504075,6/21/19,3/31/21,"The ""Kid Tech Nation-Phase II"" project delivers coding and digital skills programming to underrepresented youth (girls, Indigenous, new Canadians, low-income, and rural/remote/northern communities).",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196640,230-2019-2020-09-0132,FIRST Robotics Canada,Pickering,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512562,1385488,6/21/19,3/31/21,"The ""FIRST Robotics Canada CanCode 2.0"" delivers coding training to K-12 students/teachers, focused on girls, youth with disabilities and rural/remote/northern communities.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196641,230-2019-2020-09-0133,MEDIASMARTS/HABILOMÉDIAS,Ottawa,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512566,338793,6/21/19,3/31/21,"The ""I Can Do That! Media Production for Assessment and Evaluation in K-12 Classrooms"" project will train teachers to integrate digital tech and media into the classroom.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196643,230-2019-2020-09-0135,Brilliant Labs Inc.,Saint John,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512576,1500000,6/21/19,3/31/21,"The ""Creative Coding and Applied Digital Skills"" project is a nation-wide initiative for educators and students; providing them with experiences to learn and develop their digital and coding skills.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196639,230-2019-2020-09-0131,Kids Code Jeunesse,Montreal,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512548,8139860,6/21/19,3/31/21,Kids Code Jeunesse will provide both in-class and webinar workshops in rural communities across Canada to deliver digital skills  training to  students and teachers.,,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196638,230-2019-2020-09-0130,Elephant Thoughts Global Development Initiatives,Collingwood,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512544,1000000,6/21/19,3/31/21,"The CODERSNORTH 2.0 project delivers coding and digital skills training to students from rural and remote communities throughout Canada and is focused on Indigenous, girls  K-12.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196642,230-2019-2020-09-0134,Cybera Inc.,Calgary,CanCode,"The purpose of the CanCode program is to fund initiatives that support Canadian students kindergarten to grade 12 to learn digital skills including coding, data analytics, and digital content development. The program also supports K-12 teachers with the training and professional development they need to introduce digital skills and coding related concepts into the classroom.",,512572,1497143,6/21/19,3/31/21,"The ""Callysto: Building Tomorrow's Digital Leaders"" project will develop computational thinking, data science literacy and coding skills in teachers and students from grades 5-12.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196187,230-2018-2019-03-0060,Lac la Croix First Nation,Fort Frances,Canada 150 - Community Infrastructure Program,,,511138,25000,11/9/16,3/31/18,Upgrades and renovation of the Lac La Croix First Nation Powwow Grounds.,,"Material Restatement, Agreement cancelled Multi-Year Grant or Contribution, 2015/16 to 2017/18","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196188,230-2018-2019-03-0061,Wabaseemoong Independent Nation,White Dog,Canada 150 - Community Infrastructure Program,,,511365,54000,3/1/17,3/31/18,Thomas Land Sr. Memorial Arena upgrades and renovations.,,"Material Restatement, Agreement cancelled; Multi-Year Grant or Contribution, 2016/17 to 2017/18","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196449,230-2019-2020-06-0021,The Centre for Drug Research and Development (CDRD),Vancouver,Centre for Drug Research and Development,Funding of the Centre for Drug Research and Development,,511806,48000000,4/1/19,7/31/22,Funding to continue to grow the Centre's pipeline of promising health technologies and create new spin-off companies and train highly qualified personnel in the biopharmaceutical industry.,"Through the activities undertaken with the contribution, CDRD is expected to achieve the following results:
(a) Expand CDRD’s reach to health researchers and entrepreneurs across Canada to accelerate drug development and commercialization;
(b) Increase CDRD’s scale to expand the commercial benefits gained from  investments in basic health research; and
(c) Create a robust pipeline of health technologies capable of achieving commercial success.",2019/20 to 2022/23 Belongs to a previous quarter,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
