,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
2732,235-2019-2020-Q2-00010,Ontario Sheep Farmers,Guelph,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Production Insurance Feasibility Study for the Sheep Industry,ARI-IAR-RD-31,138102,5/2/19,3/31/20,The objective of this project is to investigate the feasibility and affordability of a disease risk production insurance program for the sheep industry in Ontario.,New financial tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2733,235-2019-2020-Q2-00012,Équipe québécoise de contrôle des maladies avicoles,Longueuil,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Impact of Mycoplasma in the Quebec poultry sector with evaluation of blanket insurance,ARI-IAR-RD-18,351189,4/4/19,3/31/21,The objective of this project is to determine the impact of Mycoplasma sunoviae in the Quebec poulty sector and to identify the source of the pathogenic agent and its impact on herds.,Other risk management tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
166,GC-2017-Q3-00020,Association des producteurs maraichers du Québec,"Montréal, 
Quebec|Montréal, 
Québec",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Development of a diagnostic tool to enhance climate risk management on produce farms,65079-ARI-IAR-2017,64505,10/12/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
84,GC-2017-Q4-00037,Canadian Seed Growers Association,"Ottawa, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector,Seed Synergy Project,"45111-ARI-IAR-2016	45111-ARI-IAR-2016",499814,3/2/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
81,GC-2017-Q4-00034,Beef Improvement Ontario,"Elora, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Effective Data Collection for Better Risk Management,"18750-ARI-IAR-2017	18750-ARI-IAR-2017",128500,3/12/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
82,GC-2017-Q4-00035,Canada Mink Breeders Association,"Rexdale, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Risk Assessment for the Canadian Fur Farming Industry,"15870-ARI-IAR-2017	15870-ARI-IAR-2017",202410,3/8/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
83,GC-2017-Q4-00036,Canadian Cattlemen's Association,"Calgary, Alberta",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Remote Sensing Applications to Insure Individual Farm Forage Production.,"11849-ARI-IAR-2014 	11849-ARI-IAR-2014",884475,3/7/18,,,,"This entry reflects an increase of 
$ 44,990.00.

Previously disclosed in the 2nd quarter of 2016-2017",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2544,235-2019-2020-Q2-00011,Société des parcs d'engraissement du Québec,Québec,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Development of a risk management system value chain for beef meats.,ARI-IAR-RD-34,223080,6/11/19,8/31/20,The objective of this project is to develop a risk management product that aligns to retail value of beef.,Other risk management tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
85,GC-2017-Q4-00038,"L'Institution Royale pour l'avancement des Sciences, Université McGill","Montréal, Québec",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Analysis and Automation of Injury Assessment in Dairy Cattle,"30347-ARI-IAR-2017	30347-ARI-IAR-2017",62292,2/2/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
86,GC-2017-Q4-00039,National Indigenous Agriculture Association (NIAA) Limited,"Saskatoon, Saskatchewan",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Developing Solutions for Indigenous Producers On-Reserve to access CALA in Ontario and Western Canada,"82476-ARI-IAR-2017	82476-ARI-IAR-2017",142100,1/15/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
87,GC-2017-Q4-00040,Ontario Beekeepers Association,"Guelph, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Measuring the Impact of Using Low-Cost Infra-red thermal imaging technology as an Honey Bee Colony and Queen Banking Overwintering Monitoring and Risk Management tool,"79530-ARI-IAR-2017	79530-ARI-IAR-2017",102000,3/12/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
88,GC-2017-Q4-00041,Ontario Greenhouse Vegetable Growers,"Leamington, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Biosecurity Risk Assessment and Mitigation Program for Greenhouse Vegetables,"41363-ARI-IAR-2017	41363-ARI-IAR-2017",75000,2/12/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
90,GC-2017-Q4-00042,Quill Lakes Watershed Association 14#,"Quill Lake, Saskatchewan",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Quill Lakes Disposal Well Study,"74092-ARI-IAR-2017	74092-ARI-IAR-2017",63825,2/16/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
91,GC-2017-Q4-00043,Société des parcs d'engraissement du Québec,"Longueuil, Québec",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Validation of the Bœuf Québec Approach as a Risk Management Mechanism for the Quebec Cattle Sector,"47737-ARI-IAR-2017	47737-ARI-IAR-2017",65050,1/31/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
92,GC-2017-Q4-00044,Upper Assiniboine River Conservation District,"Miniota, Manitoba",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector,Virden-Scallion Creek Hydrology Modelling,"23687-ARI-IAR-2017	23687-ARI-IAR-2017",173800,3/13/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2735,235-2019-2020-Q2-00014,Association des producteurs maraichers du Québec,Montreal,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Computerization of diagnostic tool to improve the management of climatic risks and development of a dissemination platform.,ARI-IAR-RD-05,38660,4/24/19,3/31/20,The objective of this project is the computerization of a diagnostic tool to impromve the management of climatic risk and the development of a dissemination platform.,Other risk management tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2734,235-2019-2020-Q2-00013,University of Guelph,Guelph,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Equine Disease Financial Risk Transfer Options,ARI-IAR-RD-17,219374,5/22/19,3/31/22,The objective of this project is to investigate the feasibility of a disease risk insurance solution for the equine industry in Ontario. ,New financial tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2731,235-2019-2020-Q2-00009,Université Laval - Faculté des sciences de l'agriculture et de l'alimentation,Québec,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Enhance the SimulOvins software with artificial intelligence to improve strategic making decision for sheep producers for a better management of financial risks.,ARI-IAR-RD-35,449475,5/13/19,3/31/22,"The objective of this project is to assist sheep producers become independant in using the SimulOvins software. In addition, the project will focus on expanding the software's potential.  ",Other risk management tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
7,GC-2017-Q1-00008,Canadian Organic Growers|Cultivons Bioloigique Canada,"Ottawa, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Transition to Organic Production: Understanding Risks and Identifying Mitigation Strategies,88561-ARI-IAR-2016,461816,5/18/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
26,GC-2017-Q2-00002,British Columbia Agricultural Council,"Abbotsford, British Columbia|Abbotsford, Columbie britannique",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Targeted BC Agricultural Risk Analysis Project,41144-ARI-IAR-2017,124604,9/20/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
25,GC-2017-Q2-00001,Grain Farmers of Ontario,"Guelph, Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Revenue Risk Management Project (RRMP),88761-ARI-IAR-2017,158310,8/14/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
16,GC-2017-Q1-00016,Newfoundland and Labrador Federation of Agriculture|Newfoundland and Labrador Fédération of Agriculture,"Mount Pearl, Newfoundland and Labrador|Mount Pearl, Terre-Neuve et Labrador",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Vulnerability Opportunity Assessment Risk Assessment for Newfoundland and Labrador Agriculture,50441-ARI-IAR-2016,365291,7/12/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
17,GC-2017-Q1-00017,Prince Edward Island Federation of Agriculture,"Charlottetown, Prince Edward Island|Charlottetown, Île-du-Prince-Édouard",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Prince Edward Island Agriculture Business Risk Assessment Report,28075-ARI-IAR-2016,300500,6/22/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
80,GC-2017-Q4-00033,"Ministère de l'Agriculture, des Pêcheries et de l'Alimentation","Québec, Québec",Agri-Risk- Administrative Capacity Building,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,For the start-up and implementation of the financial advance program related to the strategic reserve for syrup,"ARI-IAR-QC-Sirop d'érable	ARI-IAR-QC-Sirop d'érable",464304,2/21/18,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
28,GC-2017-Q2-00005,Mirexus Biotechnologies Inc.,"Guelph, Ontario",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",First Commercialization of Mirexus Innovative PhytoSpherix Technology Process,AIP2-C-354,1097131,8/29/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
8,GC-2017-Q2-00004,Les Moulins de Soulanges Inc.,"Saint Polycarpe, Quebec",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Enhancement of Low Baking Quality Grain Products,AIP2-C-352,559325,8/25/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
11,GC-2017-Q1-00011,Fresh Hemp Foods Ltd.,"Winnipeg, Manitoba",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Commercialization of Steam Pasteurization in Hemp Food Manufacturing,AIP2-C-265,2138500,5/1/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
27,GC-2017-Q2-00003,Embassy Flavours Limited,"Brampton, Ontario",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",JAM,AIP2-C-206,1533275,8/27/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
13,GC-2017-Q1-00013,Microbio Solutions Inc.,"Canton de Hatley, Québec",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS), accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",BVM BioControl ,AIP2-C-324,69500,5/25/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
54,GC-2017-Q4-00005,Les Moulins de Soulanges Inc.,"Saint Polycarpe, Québec",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS), accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Enhancement of low baking quality grain products ,"AIP2-C-352 	AIP2-C-352",909325,3/24/18,,,,"This entry reflects an increase of $310,000.00.

Previously disclosed in the 2nd Quarter of 2017-2018.

Repayable Contribution Agreement",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
53,GC-2017-Q4-00004,Goodleaf Community Farms Limited,"Bible Hill, Nova Scotia|Bible Hill, Nouvelle-Écosse",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS), accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Goodleaf Farms - Ontario Farm - Commercial Scale,"AIP2-C-366 	AIP2-C-366",4400000,3/16/18,,,,"This entry reflects an increase of $1,287,750 .00

Previously disclosed in the 3rd quarter of the Fiscal Year 2017-2018

Repayable Contribution Agreement",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
14,GC-2017-Q1-00014,Mosto California Grape Ltd.,"Toronto, Ontario",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS), accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Ontario Grape Juice Processing,AIP2-C-337,971000,5/5/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
49,GC-2017-Q4-00006,Patates Dolbec Inc. & Cultures H Dolbec Inc.,"St-Ubalde, Québec",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Modernization of the packaging facility ,"AIP2-C-264 	AIP2-C-264",4500000,3/31/18,,,,"This entry reflects an increase of $2,500,000.00.

Previously disclosed in the 2nd Quarter of the Fiscal Year 2016-2017.

Repayable Contribution Agreement",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
109,GC-2017-Q3-00003,Goodleaf Community Farms Limited,"Bible Hill, 
Nova Scotia|Bible Hill, 
Nouvelle-Écosse",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS), accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Goodleaf Farms - Ontario Farm - Commercial Scale,AIP2-C-366,3112250,12/18/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
159,GC-2017-Q3-00002,RWL Holdings Ltd.|La société RWL Holdings Ltd.,"Kensington, 
Prince Edward Island|Kensington, 
Île-du-Prince-Édouard",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS), accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Acquiring chemical imaging for zero foreign material transfer,AIP2-C-363,246000,12/12/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
23,GC-2017-Q1-00022,Yukon Gardens Ltd.,"Whithorse, Yukon",Agri-innovation: Commercialization,"Agri-Innovations Program -Enabling Commercialization and Adoption Stream (AIP-ECAS - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Construction of a commercial greenhouse in the Yukon,AIP2-C-277,600000,4/5/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
5,GC-2017-Q1-00006,Canadian Centre for Swine Improvement Inc.,"Ottawa, Ontario",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Alternatives for the control of boar taint in Canadian pork,AIP-P192 Amnd #2,1129294,6/30/17,,,,"This entry reflects an increase of $260,000.00
Previously disclosed in the 4th quarter of 2013-2014",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
19,GC-2017-Q1-00018,Pulse (Crops) Canada Association,"Winnipeg, Manitoba",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Pulse Innovation in the Chinese Market,AIP-P392,91931,5/26/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
9,GC-2017-Q1-00009,Conseil de la transformation alimentaire du Quebec (CTAQ),"Granby, Québec",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",McGill-CTAQ pre-competitive network for research and transfer on the lifecycle of products,AIP-P370,389687,5/3/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
30,GC-2017-Q2-00007,Canadian Malting Barley Technology Centre,"Winnipeg, Manitoba",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Improving the Competitiveness of Canadian Malt Barley through High Priority Research,AIP-P395,60000,8/17/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
15,GC-2017-Q1-00015,Mustard 21 Canada Inc.,"Saskatoon, Saskatchewan",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Mustard Innovation - Canadian Advantage,AIP-P027 AMND # 1,3366500,5/12/17,,,,"This entry reflects an increase of $426,000.00.
Previously disclosed in the 4th Quarter of 2013-2014.",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
21,GC-2017-Q1-00020,Pulse Canada / Pulse Crops (Canada) Association,"Winnipeg, Manitoba",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Pulse Science Cluster Two,AIP-CL03 AMND#1,6937485,4/19/17,,,,"this entry  reflects an increase of $ 98,830.00.
Previously disclosed in the 4th quarter of 2013-2014",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
32,GC-2017-Q2-00009,Saskatchewan Flax Development Commission,"Saskatoon, Saskatchewan",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Map disease resistance Ioci in flax,AIP-P402,64551,9/1/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
29,GC-2017-Q2-00006,Centre de Recherche sur les grains Inc.(CEROM),"Saint-Mathieu-de-beloeil, Qubec",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) - accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",First Commercialization of Mirexus Innovative PhytoSpherix Technology Process,AIP-P390,74874,8/27/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2,GC-2017-Q1-00003,Atlantic Grains Council,"Moncton, New Brunswick|Moncton, Nouveau  Brunswick",Agri-innovation: IND-LED - R and D,"Agri-Innovations Program -Industry Led Research and Development Stream (AIP-ILRDS) accelerate the creation, availability, application and transfer of knowledge and technologies to the sector, and increase the successful demonstration, commercialization or adoption of agriculture, agri-food and agri-based innovations.",Focused Research for Atlantic Grains and Oilseed Producers,AIP-P264 Amnd #1,761657,4/20/17,,,,"This entry reflects an increase of $107,593.00.

Disclosed on the 4th quarter of 2014-2015",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
